PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME,CARRIER_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEST_LATITUDE,DEST_LONGITUDE
901242930,1301209121647,Grand Total Total,Grand Total Total,,,44.933143,7.540121,44.933143,7.540121
1061526,808294378,"Delta Air Lines Inc.-Atlanta, GA-New York, NY Total Total",Delta Air Lines Inc.,"Atlanta, GA","New York, NY",33.7544657,-84.3898151,40.7127281,-74.0060152
1047732,797803500,"Delta Air Lines Inc.-New York, NY-Atlanta, GA Total Total",Delta Air Lines Inc.,"New York, NY","Atlanta, GA",40.7127281,-74.0060152,33.7544657,-84.3898151
1025421,414270084,"Delta Air Lines Inc.-Orlando, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Orlando, FL","Atlanta, GA",28.5421109,-81.3790304,33.7544657,-84.3898151
1022276,412999504,"Delta Air Lines Inc.-Atlanta, GA-Orlando, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Orlando, FL",33.7544657,-84.3898151,28.5421109,-81.3790304
976248,1067279178,"American Airlines Inc.-Miami, FL-New York, NY Total Total",American Airlines Inc.,"Miami, FL","New York, NY",25.7741728,-80.19362,40.7127281,-74.0060152
966296,1193375560,"American Airlines Inc.-Dallas/Fort Worth, TX-Los Angeles, CA Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Los Angeles, CA",32.8369894,-97.033926,34.0536909,-118.242766
961273,1050907668,"American Airlines Inc.-New York, NY-Miami, FL Total Total",American Airlines Inc.,"New York, NY","Miami, FL",40.7127281,-74.0060152,25.7741728,-80.19362
950381,1173720535,"American Airlines Inc.-Los Angeles, CA-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Los Angeles, CA","Dallas/Fort Worth, TX",34.0536909,-118.242766,32.8369894,-97.033926
929682,505143067,"Delta Air Lines Inc.-Atlanta, GA-Washington, DC Total Total",Delta Air Lines Inc.,"Atlanta, GA","Washington, DC",33.7544657,-84.3898151,38.8950368,-77.0365427
929395,504959818,"Delta Air Lines Inc.-Washington, DC-Atlanta, GA Total Total",Delta Air Lines Inc.,"Washington, DC","Atlanta, GA",38.8950368,-77.0365427,33.7544657,-84.3898151
864661,86466100,"Hawaiian Airlines Inc.-Kahului, HI-Honolulu, HI Total Total",Hawaiian Airlines Inc.,"Kahului, HI","Honolulu, HI",20.8747708,-156.4529879,21.304547,-157.855676
857176,85717600,"Hawaiian Airlines Inc.-Honolulu, HI-Kahului, HI Total Total",Hawaiian Airlines Inc.,"Honolulu, HI","Kahului, HI",21.304547,-157.855676,20.8747708,-156.4529879
843113,489848653,"Delta Air Lines Inc.-Atlanta, GA-Fort Lauderdale, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Fort Lauderdale, FL",33.7544657,-84.3898151,26.1223084,-80.1433786
842994,489779514,"Delta Air Lines Inc.-Fort Lauderdale, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Fort Lauderdale, FL","Atlanta, GA",26.1223084,-80.1433786,33.7544657,-84.3898151
791897,321510182,"Delta Air Lines Inc.-Tampa, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Tampa, FL","Atlanta, GA",27.9477595,-82.458444,33.7544657,-84.3898151
785771,319023026,"Delta Air Lines Inc.-Atlanta, GA-Tampa, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Tampa, FL",33.7544657,-84.3898151,27.9477595,-82.458444
757680,556033240,"American Airlines Inc.-Chicago, IL-New York, NY Total Total",American Airlines Inc.,"Chicago, IL","New York, NY",41.8755616,-87.6244212,40.7127281,-74.0060152
746266,547630833,"American Airlines Inc.-New York, NY-Chicago, IL Total Total",American Airlines Inc.,"New York, NY","Chicago, IL",40.7127281,-74.0060152,41.8755616,-87.6244212
745966,1452395802,"Delta Air Lines Inc.-Atlanta, GA-Los Angeles, CA Total Total",Delta Air Lines Inc.,"Atlanta, GA","Los Angeles, CA",33.7544657,-84.3898151,34.0536909,-118.242766
743659,596414518,"American Airlines Inc.-Chicago, IL-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Chicago, IL","Dallas/Fort Worth, TX",41.8755616,-87.6244212,32.8369894,-97.033926
742706,1371035276,"United Air Lines Inc.-San Francisco, CA-Chicago, IL Total Total",United Air Lines Inc.,"San Francisco, CA","Chicago, IL",37.7792588,-122.4193286,41.8755616,-87.6244212
741302,1368443933,"United Air Lines Inc.-Chicago, IL-San Francisco, CA Total Total",United Air Lines Inc.,"Chicago, IL","San Francisco, CA",41.8755616,-87.6244212,37.7792588,-122.4193286
738529,443866404,"Delta Air Lines Inc.-Atlanta, GA-Chicago, IL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Chicago, IL",33.7544657,-84.3898151,41.8755616,-87.6244212
737915,591807830,"American Airlines Inc.-Dallas/Fort Worth, TX-Chicago, IL Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","Chicago, IL",32.8369894,-97.033926,41.8755616,-87.6244212
735482,1431983454,"Delta Air Lines Inc.-Los Angeles, CA-Atlanta, GA Total Total",Delta Air Lines Inc.,"Los Angeles, CA","Atlanta, GA",34.0536909,-118.242766,33.7544657,-84.3898151
727694,437303604,"Delta Air Lines Inc.-Chicago, IL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Chicago, IL","Atlanta, GA",41.8755616,-87.6244212,33.7544657,-84.3898151
702640,2424990967,"British Airways Plc-London, United Kingdom-New York, NY Total Total",British Airways Plc,"London, United Kingdom","New York, NY",51.4893335,-0.1440551,40.7127281,-74.0060152
695176,965773580,"American Airlines Inc.-Dallas/Fort Worth, TX-New York, NY Total Total",American Airlines Inc.,"Dallas/Fort Worth, TX","New York, NY",32.8369894,-97.033926,40.7127281,-74.0060152
692377,961872867,"American Airlines Inc.-New York, NY-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"New York, NY","Dallas/Fort Worth, TX",40.7127281,-74.0060152,32.8369894,-97.033926
692185,2388972015,"British Airways Plc-New York, NY-London, United Kingdom Total Total",British Airways Plc,"New York, NY","London, United Kingdom",40.7127281,-74.0060152,51.4893335,-0.1440551
685635,992799480,"Alaska Airlines Inc.-Anchorage, AK-Seattle, WA Total Total",Alaska Airlines Inc.,"Anchorage, AK","Seattle, WA",61.2163129,-149.894852,47.6038321,-122.330062
676200,979137600,"Alaska Airlines Inc.-Seattle, WA-Anchorage, AK Total Total",Alaska Airlines Inc.,"Seattle, WA","Anchorage, AK",47.6038321,-122.330062,61.2163129,-149.894852
674666,109970558,"Hawaiian Airlines Inc.-Kona, HI-Honolulu, HI Total Total",Hawaiian Airlines Inc.,"Kona, HI","Honolulu, HI",19.6472213,-155.9966428,21.304547,-157.855676
670302,109259226,"Hawaiian Airlines Inc.-Honolulu, HI-Kona, HI Total Total",Hawaiian Airlines Inc.,"Honolulu, HI","Kona, HI",21.304547,-157.855676,19.6472213,-155.9966428
666659,635993426,"Alaska Airlines Inc.-Seattle, WA-Los Angeles, CA Total Total",Alaska Airlines Inc.,"Seattle, WA","Los Angeles, CA",47.6038321,-122.330062,34.0536909,-118.242766
664464,633899301,"Alaska Airlines Inc.-Los Angeles, CA-Seattle, WA Total Total",Alaska Airlines Inc.,"Los Angeles, CA","Seattle, WA",34.0536909,-118.242766,47.6038321,-122.330062
660492,910818468,"United Air Lines Inc.-Houston, TX-Los Angeles, CA Total Total",United Air Lines Inc.,"Houston, TX","Los Angeles, CA",29.7589382,-95.3676974,34.0536909,-118.242766
656438,177238260,"Delta Air Lines Inc.-Jacksonville, FL-Atlanta, GA Total Total",Delta Air Lines Inc.,"Jacksonville, FL","Atlanta, GA",30.3321838,-81.655651,33.7544657,-84.3898151
656135,1682986275,"United Air Lines Inc.-San Francisco, CA-Newark, NJ Total Total",United Air Lines Inc.,"San Francisco, CA","Newark, NJ",37.7792588,-122.4193286,40.735657,-74.1723667
649324,614274812,"JetBlue Airways-New York, NY-Orlando, FL Total Total",JetBlue Airways,"New York, NY","Orlando, FL",40.7127281,-74.0060152,28.5421109,-81.3790304
646644,174593880,"Delta Air Lines Inc.-Atlanta, GA-Jacksonville, FL Total Total",Delta Air Lines Inc.,"Atlanta, GA","Jacksonville, FL",33.7544657,-84.3898151,30.3321838,-81.655651
643962,609191070,"JetBlue Airways-Orlando, FL-New York, NY Total Total",JetBlue Airways,"Orlando, FL","New York, NY",28.5421109,-81.3790304,40.7127281,-74.0060152
642859,1648933335,"United Air Lines Inc.-Newark, NJ-San Francisco, CA Total Total",United Air Lines Inc.,"Newark, NJ","San Francisco, CA",40.735657,-74.1723667,37.7792588,-122.4193286
